PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
20,21,20,26,1044,950,31,1099,1341,1381,1660,866,1282,378,31,1019,20,22,20,22,19,20,31,23,1960,1777,1704,1524,1395,1854,32,547,-13185,7097,25695,-5201,27554,-10621,78.2428068115091,135.1446993992502,22139
22,22,21,31,911,510,31,634,955,1284,1410,553,1060,90,32,475,22,24,21,27,20,24,32,26,1738,1269,1456,781,1283,1810,32,453,-11488,6936,24641,-2437,26369,-10840,75.49624831467261,137.5435254118061,17059
26,25,24,39,881,106,32,31,46,1112,1103,31,867,26,31,31,27,27,26,31,23,28,32,31,998,416,560,32,541,1157,31,49,-2401,8571,16671,-777,21958,-11237,75.13853919239905,150.39524940617576,8420
31,30,30,40,774,31,32,31,31,212,126,30,187,30,32,31,31,31,31,30,29,31,31,32,32,32,31,31,30,32,31,31,-2401,8571,16671,-777,21958,-11237,94.49402023919043,202.55634774609013,2174
31,32,31,41,31,32,32,31,31,32,31,36,32,31,31,32,31,31,31,33,32,31,31,31,31,31,32,31,32,31,31,32,7391,11040,15697,2983,16514,-11835,92.3621197252208,232.0471050049068,1019
31,31,31,40,32,32,32,31,31,32,32,36,32,32,32,32,32,31,31,34,32,31,31,31,31,31,31,31,32,31,32,31,634,14540,24640,7719,10855,-12538,92.38111545988258,232.05381604696677,1022
32,31,31,40,33,31,31,32,31,32,31,36,43,31,32,31,32,31,31,31,31,32,32,32,31,31,32,31,31,31,31,31,10308,4582,15187,7198,-4124,-8701,92.07580174927114,230.6122448979592,1029
31,31,31,40,209,31,31,32,31,32,31,31,30,31,31,31,32,31,31,31,30,32,31,31,31,31,32,31,31,31,31,31,5025,4069,7591,1568,-10855,-5112,93.26818950930624,228.6818950930626,1182
31,32,31,40,204,31,32,31,31,31,32,30,30,31,31,31,31,31,31,31,31,31,31,32,31,31,32,32,30,32,31,32,4596,5748,5377,-1414,-11422,-2451,93.1055979643766,228.86429177268872,1179
31,31,31,40,268,32,32,32,31,31,31,30,30,31,31,31,32,31,31,31,31,32,31,31,31,31,31,31,31,32,31,31,4596,5748,5377,-1414,-11422,-2451,93.60708534621578,227.80394524959743,1242
